Index,Gender,Age,Age Group,Order Month,Status,Platform,Category,Size,Quantity,Amount,City,State,Type of Transaction
1,Women,46,Middle Age Adult,12,Delivered,Amazon,Kurta,M,1,729,Kolkata,West bengal,B2C
2,Women,59,Elderly,12,Cancelled,Myntra,Kurta,M,1,345,Noida,Uttar pradesh,B2C
3,Women,55,Senior,12,Delivered,Flipkart,Kurta,M,1,481,Chennai,Tamil nadu,B2C
4,Women,37,Middle Age Adult,12,Refunded,Amazon,Kurta,S,1,382,Bhandara,Maharashtra,B2C
5,Men,19,Youth,12,Delivered,Amazon,Set,XS,1,1036,Mumbai,Maharashtra,B2C
6,Women,49,Senior,12,Returned,Myntra,Kurta,S,1,322,New delhi,Delhi,B2C
7,Women,33,Young Adults,12,Delivered,Amazon,Kurta,L,1,449,Bhatkal,Karnataka,B2C
8,Men,22,Youth,12,Delivered,Amazon,Set,L,1,573,Mumbai,Maharashtra,B2C
9,Women,18,Youth,12,Delivered,Myntra,Set,S,1,1163,Ranchi,Jharkhand,B2C
10,Women,32,Young Adults,12,Delivered,Flipkart,Set,L,1,737,Hyderabad,Telangana,B2C
11,Women,36,Young Adults,12,Delivered,Myntra,Kurta,XL,1,471,Visakhapatnam,Andhra pradesh,B2C
12,Women,20,Youth,12,Delivered,Amazon,Saree,Free,1,307,Perambra,Kerala,B2C
13,Women,48,Senior,12,Delivered,Meesho,Kurta,M,1,631,Gurugram,Haryana,B2C
14,Women,66,Elderly,12,Delivered,Amazon,Kurta,M,1,517,Hyderabad,Telangana,B2C
15,Women,60,Elderly,12,Delivered,Myntra,Kurta,S,1,427,Hamirpur,Himachal pradesh,B2C
16,Men,47,Senior,12,Delivered,Others,Western dress,S,1,855,Nayagarh,Odisha,B2C
17,Women,19,Youth,12,Delivered,Flipkart,Kurta,XXL,1,376,Bengaluru,Karnataka,B2C
18,Men,78,Elderly,12,Delivered,Myntra,Set,M,1,852,New delhi,Delhi,B2C
19,Women,40,Middle Age Adult,12,Delivered,Amazon,Kurta,XXL,1,771,Tiruchirappalli,Tamil nadu,B2C
20,Women,38,Middle Age Adult,12,Delivered,Flipkart,Kurta,M,1,487,Puduvayal,Tamil nadu,B2C
21,Women,21,Youth,12,Delivered,Amazon,Kurta,XL,1,472,Hyderabad,Telangana,B2C
22,Women,38,Middle Age Adult,12,Delivered,Amazon,Saree,Free,1,790,Udaipur,Rajasthan,B2C
23,Women,25,Youth,12,Delivered,Amazon,Kurta,XS,1,517,Puducherry,Puducherry,B2C
24,Women,35,Young Adults,12,Delivered,Flipkart,Set,3XL,1,646,Greater noida,Uttar pradesh,B2C
25,Women,23,Youth,12,Delivered,Amazon,Western dress,XL,1,743,Secunderabad,Telangana,B2C
26,Women,61,Elderly,12,Delivered,Myntra,Kurta,XXL,1,399,New delhi,Delhi,B2C
27,Women,40,Middle Age Adult,12,Delivered,Flipkart,Set,M,1,852,Greater noida,Uttar pradesh,B2C
28,Men,32,Young Adults,12,Delivered,Flipkart,Set,M,1,759,Mysuru,Karnataka,B2C
29,Women,31,Young Adults,12,Delivered,Nalli,Top,XL,1,493,New delhi,Delhi,B2C
30,Women,29,Young Adults,12,Delivered,Amazon,Kurta,XXL,1,458,Jaipur,Rajasthan,B2C
31,Women,27,Young Adults,12,Delivered,Amazon,Kurta,M,1,435,Bidar,Karnataka,B2C
32,Women,48,Senior,12,Delivered,Amazon,Set,XS,1,759,Babugarh,Uttar pradesh,B2C
33,Men,30,Young Adults,12,Cancelled,Myntra,Set,L,1,1043,Thane,Maharashtra,B2C
34,Men,71,Elderly,12,Delivered,Myntra,Set,M,1,698,Udaipur,Rajasthan,B2C
35,Women,41,Middle Age Adult,12,Delivered,Flipkart,Top,S,1,518,Dohad,Gujarat,B2C
36,Men,28,Young Adults,12,Delivered,Myntra,Western dress,XXL,1,625,Barasat,West bengal,B2C
37,Women,19,Youth,12,Delivered,Flipkart,Kurta,3XL,1,499,Indore,Madhya pradesh,B2C
38,Women,25,Youth,12,Delivered,Myntra,Top,XS,1,321,Mumbai,Maharashtra,B2C
39,Women,73,Elderly,12,Delivered,Amazon,Kurta,XS,1,358,New delhi,Delhi,B2C
40,Women,50,Senior,12,Delivered,Flipkart,Kurta,XL,1,307,Coimbatore,Tamil nadu,B2C
41,Women,31,Young Adults,12,Delivered,Ajio,Kurta,6XL,1,692,Navi mumbai,Maharashtra,B2C
42,Men,33,Young Adults,12,Delivered,Ajio,Set,XS,1,1099,New delhi,Delhi,B2C
43,Women,31,Young Adults,12,Delivered,Myntra,Set,M,1,1033,Barasat,West bengal,B2C
44,Women,44,Middle Age Adult,12,Delivered,Myntra,Kurta,XS,1,301,Coimbatore,Tamil nadu,B2C
45,Women,26,Young Adults,12,Delivered,Myntra,Top,L,1,625,Ranchi,Jharkhand,B2C
46,Women,25,Youth,12,Delivered,Myntra,Kurta,M,1,435,Sangareddy,Telangana,B2C
47,Women,49,Senior,12,Delivered,Amazon,Kurta,3XL,1,307,Pune,Maharashtra,B2C
48,Men,59,Elderly,12,Delivered,Amazon,Set,L,1,788,Buxar,Bihar,B2C
49,Women,21,Youth,12,Delivered,Amazon,Set,M,1,999,Kanjikode industrial area,Kerala,B2C
50,Women,31,Young Adults,12,Delivered,Amazon,Kurta,XS,1,852,Hyderabad,Telangana,B2C
51,Women,34,Young Adults,12,Delivered,Amazon,Set,M,1,999,Allahabad,Uttar pradesh,B2C
52,Men,72,Elderly,12,Delivered,Amazon,Set,M,1,1075,Diu,Dadra and nagar,B2C
53,Men,22,Youth,12,Delivered,Amazon,Set,S,1,845,Patna,Bihar,B2C
54,Men,35,Young Adults,12,Delivered,Myntra,Set,S,1,664,Yacharam,Telangana,B2C
55,Women,31,Young Adults,12,Delivered,Flipkart,Set,M,1,1186,Kannur,Kerala,B2C
56,Men,34,Young Adults,12,Returned,Meesho,Set,XXL,1,1258,Port blair,Andaman & nicobar ,B2C
57,Women,46,Middle Age Adult,12,Refunded,Amazon,Kurta,XXL,1,399,Muzaffarnagar,Uttar pradesh,B2C
58,Men,63,Elderly,12,Delivered,Amazon,Western dress,M,1,771,Manmad,Maharashtra,B2C
59,Women,33,Young Adults,12,Delivered,Amazon,Kurta,XXL,1,459,Suryapet,Telangana,B2C
60,Women,58,Elderly,12,Delivered,Amazon,Kurta,L,1,468,Bengaluru,Karnataka,B2C
61,Women,27,Young Adults,12,Delivered,Flipkart,Kurta,L,1,475,Pimpri chinchwad,Maharashtra,B2C
62,Men,24,Youth,12,Delivered,Flipkart,Set,M,1,967,Kollam,Kerala,B2C
63,Men,45,Middle Age Adult,12,Delivered,Flipkart,Western dress,L,1,614,Bengaluru,Karnataka,B2C
64,Women,22,Youth,12,Delivered,Amazon,Set,L,1,788,Vadodara,Gujarat,B2C
65,Women,18,Youth,12,Returned,Amazon,Top,M,1,359,Lucknow,Uttar pradesh,B2C
66,Women,55,Senior,12,Delivered,Nalli,Top,S,1,625,Secunderabad,Telangana,B2C
67,Women,25,Youth,12,Returned,Amazon,Set,S,1,1238,Jaipur,Rajasthan,B2C
68,Men,30,Young Adults,12,Delivered,Amazon,Set,XXL,1,927,Lucknow,Uttar pradesh,B2C
69,Women,46,Middle Age Adult,12,Delivered,Amazon,Kurta,XL,1,424,Gurugram,Haryana,B2C
70,Men,27,Young Adults,12,Delivered,Myntra,Western dress,L,1,825,Bengaluru,Karnataka,B2C
71,Women,46,Middle Age Adult,12,Returned,Amazon,Set,L,1,545,Bengaluru,Karnataka,B2C
72,Men,20,Youth,12,Delivered,Amazon,Set,XL,1,729,Pune,Maharashtra,B2C
73,Women,26,Young Adults,12,Returned,Myntra,Top,S,1,497,Ernakulam,Kerala,B2C
74,Men,49,Senior,12,Delivered,Myntra,Western dress,M,1,625,Mumbai,Maharashtra,B2C
75,Women,32,Young Adults,12,Delivered,Myntra,Kurta,S,1,319,Haridwar,Uttarakhand,B2C
76,Women,28,Young Adults,12,Delivered,Flipkart,Saree,Free,1,365,Lalitpur,Uttar pradesh,B2C
77,Women,36,Young Adults,12,Delivered,Ajio,Blouse,XXL,1,563,Belagavi,Karnataka,B2C
78,Women,73,Elderly,12,Delivered,Others,Kurta,L,1,399,New delhi,Delhi,B2C
79,Women,56,Elderly,12,Delivered,Flipkart,Set,S,1,899,Hyderabad,Telangana,B2C
80,Men,73,Elderly,12,Delivered,Meesho,Set,XS,1,525,Bengaluru,Karnataka,B2C
81,Women,18,Youth,12,Delivered,Amazon,Kurta,XL,1,323,Chennai,Tamil nadu,B2C
82,Women,48,Senior,12,Delivered,Ajio,Set,L,1,1137,Ahmedabad,Gujarat,B2C
83,Women,28,Young Adults,12,Delivered,Amazon,Kurta,XXL,1,582,Secunderabad,Telangana,B2C
84,Men,74,Elderly,12,Delivered,Others,Set,XL,1,1083,Mohali,Punjab,B2C
85,Men,40,Middle Age Adult,12,Delivered,Flipkart,Set,S,1,696,Pune,Maharashtra,B2C
86,Men,71,Elderly,12,Delivered,Myntra,Western dress,XXL,1,842,Hyderabad,Telangana,B2C
87,Men,22,Youth,12,Delivered,Myntra,Set,XXL,1,1229,Kanpur,Uttar pradesh,B2C
88,Women,18,Youth,12,Cancelled,Myntra,Set,XL,1,698,Hyderabad,Telangana,B2C
89,Women,48,Senior,12,Delivered,Myntra,Kurta,XL,1,435,Meerut,Uttar pradesh,B2C
90,Men,24,Youth,12,Delivered,Nalli,Set,L,1,1442,Coimbatore,Tamil nadu,B2C
91,Men,41,Middle Age Adult,12,Delivered,Others,Western dress,XL,1,899,Hyderabad,Telangana,B2C
92,Men,53,Senior,12,Delivered,Myntra,Set,L,1,597,Udaipur,Rajasthan,B2C
93,Men,29,Young Adults,12,Delivered,Flipkart,Ethnic dress,S,1,362,Kolkata,West bengal,B2C
94,Women,37,Middle Age Adult,12,Delivered,Amazon,Kurta,3XL,1,453,Hyderabad,Telangana,B2C
95,Women,73,Elderly,12,Delivered,Myntra,Set,XXL,1,1299,Mumbai,Maharashtra,B2C
96,Men,42,Middle Age Adult,12,Delivered,Others,Set,XL,1,969,Dibrugarh,Assam,B2C
97,Women,33,Young Adults,12,Delivered,Flipkart,Kurta,3XL,1,558,Nuzvid,Andhra pradesh,B2C
98,Women,29,Young Adults,12,Delivered,Myntra,Kurta,3XL,1,545,Kolhapur,Maharashtra,B2C
99,Women,39,Middle Age Adult,12,Delivered,Flipkart,Kurta,L,1,561,Chennai,Tamil nadu,B2C
100,Men,42,Middle Age Adult,12,Delivered,Myntra,Western dress,3XL,1,735,Hyderabad,Telangana,B2C
101,Women,59,Elderly,12,Delivered,Myntra,Kurta,XS,1,446,Kozhikode,Kerala,B2C
102,Men,46,Middle Age Adult,12,Delivered,Amazon,Set,3XL,1,882,Jaipur,Rajasthan,B2C
103,Women,48,Senior,12,Delivered,Flipkart,Set,XXL,1,1163,Mumbai,Maharashtra,B2C
104,Women,22,Youth,12,Delivered,Amazon,Top,L,1,690,New delhi,Delhi,B2C
105,Women,23,Youth,12,Delivered,Flipkart,Set,XL,1,495,Aurangabad,Maharashtra,B2C
106,Women,42,Middle Age Adult,12,Delivered,Flipkart,Kurta,3XL,1,422,Hyderabad,Telangana,B2C
